iter	Logloss
0	0.6865567312
1	0.6816029137
2	0.6750988436
3	0.6696190358
4	0.6633242074
5	0.6568055052
6	0.651477138
7	0.6458986624
8	0.6407756513
9	0.6354368369
10	0.6302057571
11	0.624532481
12	0.6197044278
13	0.6143034217
14	0.609525058
15	0.6055461753
16	0.6006098588
17	0.5954261019
18	0.5911768217
19	0.5864654962
20	0.5830706239
21	0.5783553558
22	0.5747589212
23	0.5711401956
24	0.5688698916
25	0.5647515914
26	0.5609470663
27	0.556886654
28	0.5528646957
29	0.5494991503
30	0.5463857437
31	0.5435828564
32	0.5403142876
33	0.5370880271
34	0.5335264869
35	0.5305237457
36	0.5271553278
37	0.5247604693
38	0.5221287771
39	0.5195282774
40	0.5167775736
41	0.5139788699
42	0.5109569498
43	0.5082254759
44	0.5053367817
45	0.5032932269
46	0.5006686104
47	0.4978820613
48	0.4953582037
49	0.4930289505
50	0.4904261916
51	0.4885013597
52	0.4860384374
53	0.4834758734
54	0.4817554699
55	0.4800485818
56	0.4778759431
57	0.4761433666
58	0.4743273868
59	0.4721529672
60	0.470322804
61	0.4682313416
62	0.4663255425
63	0.4648778314
64	0.4632432306
65	0.4613491058
66	0.4595800426
67	0.4582664378
68	0.4564219798
69	0.4545769021
70	0.4532761559
71	0.4513968426
72	0.4502256279
73	0.4488757761
74	0.4474481977
75	0.4461499183
76	0.4449072931
77	0.4432548215
78	0.4417726895
79	0.4406881264
80	0.4399541805
81	0.438454245
82	0.437431229
83	0.4360768222
84	0.435123057
85	0.4341586902
86	0.4335681556
87	0.4324250673
88	0.4312276541
89	0.4300211244
90	0.4291060794
91	0.4280235251
92	0.4272512642
93	0.4260527261
94	0.425015773
95	0.4238373079
96	0.4233689792
97	0.4225457029
98	0.4215703047
99	0.4203920368
100	0.419350314
101	0.4187222864
102	0.4180847146
103	0.4170292024
104	0.4162447109
105	0.4154416944
106	0.4145387916
107	0.4136164542
108	0.4127234931
109	0.4120472588
110	0.4112614285
111	0.4107766137
112	0.4102272909
113	0.4091680908
114	0.4085328214
115	0.4076457161
116	0.4068085985
117	0.4060304438
118	0.4053845059
119	0.4046694232
120	0.4037788634
121	0.4030148455
122	0.4023075176
123	0.40163423
124	0.4009637015
